"","Date","AdjClosed","Volume","Apple.Watch","MacBook","AirPods","iPad","iPhone"
"1",2016-04-01,25.1372966766357,103496000,1,2,0,6,33
"2",2016-04-04,25.3955516815186,149424800,1,2,0,6,29
"3",2016-04-05,25.0961589813232,106314800,1,2,0,6,30
"4",2016-04-06,25.3589820861816,105616400,1,2,0,6,28
"5",2016-04-07,24.805908203125,127207600,1,2,0,6,28
"6",2016-04-08,24.8333358764648,94326800,1,2,0,6,29
"7",2016-04-11,24.9156074523926,117630000,1,2,0,6,29
"8",2016-04-12,25.240140914917,108929200,1,2,0,5,27
"9",2016-04-13,25.6058044433594,133029200,1,2,0,5,27
"10",2016-04-14,25.619514465332,101895600,1,2,0,5,25
"11",2016-04-15,25.1052932739258,187756000,1,2,0,5,27
"12",2016-04-18,24.5636577606201,243286000,1,2,0,5,26
"13",2016-04-19,24.433385848999,129539600,1,3,0,5,26
"14",2016-04-20,24.4836654663086,122444000,1,3,0,5,25
"15",2016-04-21,24.2185573577881,126210000,1,2,0,5,25
"16",2016-04-22,24.1522789001465,134732400,1,2,0,5,26
"17",2016-04-25,24.0151615142822,112126400,1,3,0,5,27
"18",2016-04-26,23.848316192627,224064800,1,2,0,5,26
"19",2016-04-27,22.3559398651123,458408400,1,2,0,5,26
"20",2016-04-28,21.6726055145264,328970800,1,2,0,5,26
"21",2016-04-29,21.423490524292,274126000,1,2,0,5,26
"22",2016-05-02,21.4006404876709,192640400,1,2,0,5,26
"23",2016-05-03,21.752592086792,227325200,1,2,0,5,26
"24",2016-05-04,21.5263366699219,164102000,1,2,0,5,26
"25",2016-05-05,21.4389572143555,143562000,1,2,0,5,27
"26",2016-05-06,21.3193950653076,174799600,1,2,0,5,26
"27",2016-05-09,21.3354969024658,131745600,1,2,0,5,25
"28",2016-05-10,21.4803447723389,134747200,1,2,0,5,26
"29",2016-05-11,21.271110534668,114876400,1,2,0,5,26
"30",2016-05-12,20.7721576690674,305258800,1,2,0,5,26
"31",2016-05-13,20.8135471343994,177571200,1,2,0,5,26
"32",2016-05-16,21.5861206054688,245039200,1,2,0,5,26
"33",2016-05-17,21.4964427947998,187667600,1,2,0,5,25
"34",2016-05-18,21.7424736022949,168249600,1,2,0,5,26
"35",2016-05-19,21.6596965789795,121768400,1,2,0,5,27
"36",2016-05-20,21.894229888916,128104000,1,2,0,5,26
"37",2016-05-23,22.1724452972412,152074400,1,2,0,5,26
"38",2016-05-24,22.5104522705078,140560800,1,2,0,5,26
"39",2016-05-25,22.9059371948242,152675200,1,2,0,5,25
"40",2016-05-26,23.0875797271729,225324800,1,2,0,5,25
"41",2016-05-27,23.0737838745117,145364800,1,2,0,5,25
"42",2016-05-31,22.9611206054688,169228800,1,2,0,5,27
"43",2016-06-01,22.6392097473145,116693200,1,2,0,5,28
"44",2016-06-02,22.4690589904785,160766400,1,2,0,5,27
"45",2016-06-03,22.5150508880615,114019600,1,2,0,5,25
"46",2016-06-06,22.6783008575439,93170000,1,2,0,5,27
"47",2016-06-07,22.7702732086182,89638000,1,2,0,5,26
"48",2016-06-08,22.7495784759521,83392400,1,2,0,5,26
"49",2016-06-09,22.9128322601318,106405600,1,2,0,4,25
"50",2016-06-10,22.7242889404297,126851600,1,2,0,5,27
"51",2016-06-13,22.3816871643066,152082000,1,3,0,5,26
"52",2016-06-14,22.4092769622803,127727600,1,3,0,5,27
"53",2016-06-15,22.3356971740723,117780800,1,2,0,5,25
"54",2016-06-16,22.4299697875977,125307200,1,2,0,5,27
"55",2016-06-17,21.9195175170898,244032800,1,2,0,5,28
"56",2016-06-20,21.8666324615479,137647600,1,2,0,5,27
"57",2016-06-21,22.0528831481934,142185600,1,2,0,5,27
"58",2016-06-22,21.9701118469238,116876400,1,2,0,5,26
"59",2016-06-23,22.096565246582,128960800,1,2,0,5,26
"60",2016-06-24,21.4757518768311,301245600,1,2,0,5,26
"61",2016-06-27,21.1630401611328,181958400,1,2,0,5,26
"62",2016-06-28,21.5194358825684,161779600,1,2,0,5,27
"63",2016-06-29,21.705680847168,146124000,1,2,0,5,27
"64",2016-06-30,21.9816036224365,143345600,1,2,0,5,27
"65",2016-07-01,22.0482845306396,104106000,1,2,0,5,27
"66",2016-07-05,21.841344833374,110820800,1,2,0,5,27
"67",2016-07-06,21.9655113220215,123796400,1,2,0,5,29
"68",2016-07-07,22.0597801208496,100558400,1,2,0,5,28
"69",2016-07-08,22.2299365997314,115648400,1,2,0,5,28
"70",2016-07-11,22.2989139556885,95179600,1,2,0,5,31
"71",2016-07-12,22.4000816345215,96670000,1,2,0,5,31
"72",2016-07-13,22.2736225128174,103568800,1,2,0,5,30
"73",2016-07-14,22.7150917053223,155676000,1,2,0,5,31
"74",2016-07-15,22.7127895355225,120548000,1,2,0,5,30
"75",2016-07-18,22.9542274475098,145975600,1,2,0,5,30
"76",2016-07-19,22.9634170532227,95119600,1,2,0,5,30
"77",2016-07-20,22.9841079711914,105104000,1,2,0,5,29
"78",2016-07-21,22.8622512817383,130808000,1,2,0,5,31
"79",2016-07-22,22.6851921081543,113254800,1,2,0,5,30
"80",2016-07-25,22.3816871643066,161531600,1,2,0,5,30
"81",2016-07-26,22.2276306152344,224959200,1,2,0,5,31
"82",2016-07-27,23.6716136932373,369379200,1,2,0,5,30
"83",2016-07-28,23.9912223815918,159479200,1,2,0,5,31
"84",2016-07-29,23.9613208770752,110934800,1,2,0,5,30
"85",2016-08-01,24.384407043457,152671600,1,3,0,5,29
